,date,temperature_2m,wind_speed_10m,wind_direction_10m,latitude,longitude
83,2024-02-11 21:00:00+07:00,,,,-6.219151,106.801624
84,2024-02-12 20:00:00+07:00,,,,-6.219151,106.801624
85,2024-02-12 21:00:00+07:00,,,,-6.219151,106.801624
86,2024-02-13 20:00:00+07:00,,,,-6.219151,106.801624
87,2024-02-13 21:00:00+07:00,,,,-6.219151,106.801624
88,2024-02-14 20:00:00+07:00,,,,-6.219151,106.801624
89,2024-02-14 21:00:00+07:00,,,,-6.219151,106.801624
90,2024-02-15 20:00:00+07:00,,,,-6.219151,106.801624
91,2024-02-15 21:00:00+07:00,,,,-6.219151,106.801624
92,2024-02-16 20:00:00+07:00,,,,-6.219151,106.801624
93,2024-02-16 21:00:00+07:00,,,,-6.219151,106.801624
94,2024-02-17 20:00:00+07:00,,,,-6.219151,106.801624
95,2024-02-17 21:00:00+07:00,,,,-6.219151,106.801624
96,2024-02-18 20:00:00+07:00,,,,-6.219151,106.801624
97,2024-02-18 21:00:00+07:00,,,,-6.219151,106.801624
98,2024-02-19 20:00:00+07:00,,,,-6.219151,106.801624
99,2024-02-19 21:00:00+07:00,,,,-6.219151,106.801624
100,2024-02-20 20:00:00+07:00,,,,-6.219151,106.801624
101,2024-02-20 21:00:00+07:00,,,,-6.219151,106.801624
102,2024-02-21 20:00:00+07:00,,,,-6.219151,106.801624
103,2024-02-21 21:00:00+07:00,,,,-6.219151,106.801624
104,2024-02-22 20:00:00+07:00,,,,-6.219151,106.801624
105,2024-02-22 21:00:00+07:00,,,,-6.219151,106.801624
106,2024-02-23 20:00:00+07:00,,,,-6.219151,106.801624
107,2024-02-23 21:00:00+07:00,,,,-6.219151,106.801624
108,2024-02-24 20:00:00+07:00,,,,-6.219151,106.801624
109,2024-02-24 21:00:00+07:00,,,,-6.219151,106.801624
110,2024-02-25 20:00:00+07:00,,,,-6.219151,106.801624
111,2024-02-25 21:00:00+07:00,,,,-6.219151,106.801624
112,2024-02-26 20:00:00+07:00,,,,-6.219151,106.801624
113,2024-02-26 21:00:00+07:00,,,,-6.219151,106.801624
114,2024-02-27 20:00:00+07:00,,,,-6.219151,106.801624
115,2024-02-27 21:00:00+07:00,,,,-6.219151,106.801624
116,2024-02-28 20:00:00+07:00,,,,-6.219151,106.801624
117,2024-02-28 21:00:00+07:00,,,,-6.219151,106.801624
118,2024-02-29 20:00:00+07:00,,,,-6.219151,106.801624
119,2024-02-29 21:00:00+07:00,,,,-6.219151,106.801624
120,2024-03-01 20:00:00+07:00,,,,-6.219151,106.801624
121,2024-03-01 21:00:00+07:00,,,,-6.219151,106.801624
122,2024-03-02 20:00:00+07:00,,,,-6.219151,106.801624
123,2024-03-02 21:00:00+07:00,,,,-6.219151,106.801624
124,2024-03-03 20:00:00+07:00,,,,-6.219151,106.801624
125,2024-03-03 21:00:00+07:00,,,,-6.219151,106.801624
126,2024-03-04 20:00:00+07:00,,,,-6.219151,106.801624
127,2024-03-04 21:00:00+07:00,,,,-6.219151,106.801624
128,2024-03-05 20:00:00+07:00,,,,-6.219151,106.801624
129,2024-03-05 21:00:00+07:00,,,,-6.219151,106.801624
130,2024-03-06 20:00:00+07:00,,,,-6.219151,106.801624
131,2024-03-06 21:00:00+07:00,,,,-6.219151,106.801624
132,2024-03-07 20:00:00+07:00,,,,-6.219151,106.801624
133,2024-03-07 21:00:00+07:00,,,,-6.219151,106.801624
134,2024-03-08 20:00:00+07:00,,,,-6.219151,106.801624
135,2024-03-08 21:00:00+07:00,,,,-6.219151,106.801624
136,2024-03-09 20:00:00+07:00,,,,-6.219151,106.801624
137,2024-03-09 21:00:00+07:00,,,,-6.219151,106.801624
138,2024-03-10 20:00:00+07:00,,,,-6.219151,106.801624
139,2024-03-10 21:00:00+07:00,,,,-6.219151,106.801624
140,2024-03-11 20:00:00+07:00,,,,-6.219151,106.801624
141,2024-03-11 21:00:00+07:00,,,,-6.219151,106.801624
142,2024-03-12 20:00:00+07:00,,,,-6.219151,106.801624
143,2024-03-12 21:00:00+07:00,,,,-6.219151,106.801624
144,2024-03-13 20:00:00+07:00,,,,-6.219151,106.801624
145,2024-03-13 21:00:00+07:00,,,,-6.219151,106.801624
146,2024-03-14 20:00:00+07:00,,,,-6.219151,106.801624
147,2024-03-14 21:00:00+07:00,,,,-6.219151,106.801624
148,2024-03-15 20:00:00+07:00,,,,-6.219151,106.801624
149,2024-03-15 21:00:00+07:00,,,,-6.219151,106.801624
150,2024-03-16 20:00:00+07:00,,,,-6.219151,106.801624
151,2024-03-16 21:00:00+07:00,,,,-6.219151,106.801624
152,2024-03-17 20:00:00+07:00,,,,-6.219151,106.801624
153,2024-03-17 21:00:00+07:00,,,,-6.219151,106.801624
154,2024-03-18 20:00:00+07:00,,,,-6.219151,106.801624
155,2024-03-18 21:00:00+07:00,,,,-6.219151,106.801624
156,2024-03-19 20:00:00+07:00,,,,-6.219151,106.801624
